title,artist,tempo,chroma_number,zcr_mean,zcr_std,energy_mean,energy_entropy_mean,spectral_centroid_mean,spectral_spread_mean,spectral_entropy_mean,mfcc_2_mean,mfcc_5_mean,mfcc_6_mean,spectral_centroid_std,spectral_entropy_std,spectral_spread_std,chroma_7_std,delta chroma_2_std,delta chroma_3_std,delta chroma_9_std,delta chroma_std_std,delta energy_std,delta mfcc_1_std,delta mfcc_3_std,delta mfcc_13_std,delta spectral_centroid_std,delta spectral_entropy_std,delta spectral_flux_std,delta spectral_spread_std,primary,secondary
don't wake me,skillet,129.19921875,-0.026367050175055,0.066783045,0.023391774,0.075956442,3.196414411,0.148504853,0.174041451,0.545113851,1.697845263,0.052014829,0.231336907,0.028163536,0.226573924,0.019155768,0.03198168,0.00529549,0.027063353,0.00749032,0.010841034,0.038373021,0.582386219,0.333620975,0.213226971,0.030275889,0.243660707,0.002899469,0.022809551,6,5
dorothy,super junior,143.5546875,-0.0126954223947252,0.05055048,0.023972947,0.062673174,3.196123838,0.134049312,0.177699156,0.406176442,2.213056651,-0.082087478,-0.027820413,0.038226186,0.251086122,0.030100248,0.03322267,0.00509219,0.022376653,0.013046442,0.009965555,0.030691732,0.657877689,0.299027253,0.213355323,0.039388241,0.246549777,0.004180215,0.03449235,6,4
down,jay sean,66.25600961538461,0.0088640351626357,0.057775768,0.036096696,0.100257967,3.111233579,0.15531158,0.186120304,0.486955884,1.69510365,0.039234965,0.146714825,0.038684021,0.394335358,0.019522398,0.065146609,0.007545716,0.099054285,0.007082133,0.022109284,0.080268447,1.386994759,0.409626587,0.250912104,0.038386081,0.388669969,0.008764866,0.023808922,5,2
dragon cry,takanashi yasuharu,95.703125,-0.0150232715561287,0.063016642,0.022222363,0.037243315,3.098947819,0.152332353,0.177703137,0.610542603,1.453960516,0.287763479,0.243216201,0.025524894,0.24183021,0.019507803,0.052005721,0.002720338,0.084156406,0.003264,0.016749781,0.022135703,0.908522693,0.23446393,0.173127051,0.021491347,0.20797628,0.008343791,0.01895678,1,6
dragon fight,takanashi yasuharu,89.10290948275862,-0.0130995279256212,0.071374093,0.028157938,0.071510527,3.072343438,0.175905595,0.194205951,0.665069805,1.307466052,0.358704591,0.275602133,0.032953017,0.30369274,0.025150004,0.045653422,0.001471135,0.133151524,0.001708792,0.03008515,0.045808291,0.865342352,0.250797045,0.186201048,0.034477664,0.346864293,0.010599629,0.025576171,1,6
dragon rider,two steps from hell,161.4990234375,-0.0003719003347416,0.070014941,0.032048017,0.051407234,3.087231834,0.181253685,0.206992206,0.519910217,1.869402242,0.154924161,0.157656769,0.034809572,0.296378749,0.017923194,0.08858991,0.003849922,0.055323276,0.003927001,0.023349576,0.024028145,0.800740869,0.306872549,0.204848231,0.033250198,0.293959628,0.005325928,0.021089009,1,6
dragon slayer,takanashi yasuharu,73.828125,0.0325326697030422,0.067846907,0.02213611,0.073584716,3.177231178,0.150629258,0.173604925,0.626471419,1.633827698,0.309796811,0.232885147,0.028464282,0.230632922,0.01963533,0.035855029,0.002326472,0.054805491,0.002974317,0.014599609,0.033410339,0.530348012,0.208413731,0.178857042,0.028549838,0.250881945,0.004805442,0.021959651,1,6
dreamer,super junior,95.703125,0.0079707745117584,0.039719043,0.022255545,0.091900306,3.156024059,0.127478722,0.174984515,0.292636531,2.14623763,-0.006747728,0.023777479,0.032817192,0.235124621,0.022843159,0.04857547,0.002196667,0.053145117,0.007102992,0.01493737,0.024422764,0.775145562,0.314696612,0.226675728,0.034437149,0.233011256,0.004795998,0.027150862,5,4
dynamite,taio cruz,117.45383522727272,0.0281468978187383,0.055893585,0.030111726,0.110613109,3.103705814,0.154284614,0.184093661,0.428361691,1.542058515,0.048094188,0.219669589,0.032526307,0.297819886,0.018891484,0.068148646,0.00290082,0.063935775,0.012508897,0.021150951,0.084045751,1.254218706,0.447725364,0.266700083,0.03420077,0.331624534,0.006782244,0.021724891,3,6
everytime we touch,cascada,143.5546875,-0.0086481619756295,0.081233245,0.037296528,0.101898487,3.200556398,0.197878373,0.205992358,0.634343774,1.591895178,0.063537508,0.026542117,0.03245661,0.307578024,0.014235263,0.086389067,0.005502202,0.058805072,0.007230779,0.025975954,0.039230953,1.019365493,0.38510655,0.236419642,0.032816712,0.343219826,0.005900568,0.015923729,3,6
fade,alan walker,89.10290948275862,0.0053381107100135,0.052372956,0.023777145,0.112095245,3.085867922,0.153072137,0.192395574,0.467100058,2.043798458,0.242125729,0.180993575,0.035369225,0.274842307,0.019726439,0.054781339,0.003410146,0.048270956,0.004479578,0.016920206,0.051855175,1.190880243,0.375455309,0.213814237,0.038718778,0.304896679,0.007195773,0.025817638,3,5
faded,alan walker,89.10290948275862,0.0068921785549815,0.062810297,0.027105485,0.074439362,3.201882085,0.154398361,0.184545505,0.472969156,1.851256969,0.103583721,0.006880822,0.031177454,0.266411327,0.020074554,0.049766409,0.010666957,0.042599563,0.007035353,0.015565486,0.023827486,0.769072577,0.34497241,0.213015479,0.028433677,0.234604191,0.00588008,0.023337376,5,3
fairy tail rising,takanashi yasuharu,112.34714673913044,-0.0299979543906778,0.067289,0.02360026,0.084645852,3.08733687,0.16155456,0.176634936,0.653753059,1.136394188,0.307535,0.357465156,0.025294733,0.251755083,0.01842612,0.051294045,0.00270441,0.125684943,0.001645209,0.027113956,0.04137893,0.730033261,0.229562372,0.191958876,0.024224119,0.274245355,0.007909517,0.019710834,1,6
festival,yamagami takeshi,107.666015625,-0.0196751534081928,0.028767982,0.004468937,0.020829086,3.204453779,0.077116526,0.135552144,0.072454602,2.507141454,-0.318387944,-0.152693009,0.02208501,0.031308089,0.040388164,0.01640044,0.002385045,0.013402883,0.009370575,0.006548179,0.011916061,0.73922907,0.232595412,0.190611078,0.028071394,0.033588677,0.005096294,0.052431407,4,6
fight song,rachel platten,172.265625,-0.0038128559301508,0.067355289,0.040054113,0.052268493,3.138526592,0.161651306,0.18899289,0.456116917,1.863808714,0.003075957,0.078961773,0.044526575,0.316923048,0.022205315,0.044054279,0.008215313,0.048433373,0.003496675,0.014988788,0.033332644,1.00104445,0.393673501,0.226100798,0.039878124,0.293555631,0.005013124,0.024679267,6,1
flight of the silverbird,two steps from hell,135.99917763157896,-0.0082000779145096,0.043125706,0.00886383,0.066203902,3.176920549,0.111084777,0.150378275,0.316852773,1.688896799,0.123936214,0.162990031,0.015995676,0.092920301,0.020960147,0.039755521,0.003814955,0.035635973,0.004346803,0.012113171,0.021420021,0.519877668,0.226271404,0.179551985,0.020435486,0.109097659,0.005097701,0.027402412,1,6
flower dance,dj okawari,99.38401442307692,0.0233002392695015,0.053478834,0.019680338,0.035966306,3.192683431,0.13105352,0.17443551,0.298441059,2.335654161,-0.025766279,0.083070899,0.037229309,0.18992322,0.030135122,0.042762544,0.006432993,0.019612703,0.005906116,0.011085264,0.014459462,0.796594076,0.29741254,0.202816742,0.042219571,0.195689517,0.005955163,0.036910997,2,5
fo xi shao nu,feng ti mo,129.19921875,-0.0012236183198013,0.051561169,0.030935316,0.055607484,3.137880756,0.137348705,0.167900511,0.509677248,1.819477549,0.158244919,0.010596029,0.037200439,0.332786016,0.024654526,0.074548038,0.005643573,0.063935425,0.004906604,0.019935326,0.041839329,1.551291887,0.484682587,0.247110571,0.04113915,0.363089918,0.009922664,0.031292817,2,3
for the win,two steps from hell,117.45383522727272,-0.0178634950117245,0.054581835,0.012390778,0.042790447,3.211475031,0.126162418,0.165200229,0.371439321,1.687021756,-0.049208152,0.10056294,0.022283975,0.116820853,0.021952412,0.027660084,0.009622685,0.027287104,0.005227235,0.008298621,0.013474169,0.509033714,0.224741424,0.19714108,0.032183681,0.151804097,0.00328097,0.031434103,1,6
gang hao yu jian ni,li yu gang,78.30255681818181,-0.0055521094200982,0.051745415,0.028920184,0.047437742,3.191387256,0.138470955,0.180930041,0.354054395,1.978431861,0.067855455,-0.00472897,0.033830051,0.303891246,0.021545951,0.045072541,0.005502952,0.036266349,0.007726281,0.014136478,0.022512082,0.813573325,0.339666212,0.215218039,0.033658648,0.281621866,0.005658155,0.026424536,5,6
glass heart,jason chen,117.45383522727272,-0.0130935853691956,0.045866245,0.028710185,0.058149324,3.181588458,0.137445462,0.180639795,0.361778398,1.944240062,0.015228148,0.067555025,0.034037765,0.295904991,0.021718286,0.062741529,0.005563855,0.061673869,0.011036036,0.01719804,0.042644693,1.018567702,0.421110545,0.235832585,0.034391232,0.290320156,0.00662716,0.025040553,2,5
gold,britt nicole,95.703125,-0.0145993033538356,0.093027968,0.045402089,0.0805675,3.196447044,0.194994596,0.196087585,0.790734014,0.972797388,0.199374293,0.097395122,0.043598057,0.433667179,0.019283363,0.061011635,0.010532845,0.057136047,0.009353882,0.016945251,0.04764714,1.299861057,0.511576246,0.299702793,0.045131668,0.455330309,0.007232607,0.022394216,3,2
gotta be somebody,nickelback,117.45383522727272,-0.0188318764159078,0.065523339,0.020700779,0.089225058,3.173610816,0.145669962,0.170994927,0.591983867,1.447488379,0.24060648,0.365833988,0.025620426,0.200030862,0.019639034,0.033883986,0.003422954,0.038563934,0.005333823,0.012242247,0.036171473,0.654972222,0.30886152,0.211306203,0.025941021,0.216390779,0.002833764,0.023510362,1,3
guang nian zhi wai,gem,89.10290948275862,0.0074647086420692,0.042507118,0.020839742,0.055105979,3.18049415,0.123817722,0.17612565,0.272411393,2.46387564,0.00243042,-0.041581081,0.032516081,0.197806939,0.025830914,0.053715621,0.005068051,0.05102558,0.011385478,0.014068069,0.028405915,0.829900754,0.366969299,0.209110328,0.0321841,0.185718155,0.006191055,0.030137058,6,1
half a heart,one direction,151.99908088235293,-0.0113125864858893,0.060035986,0.035945186,0.08864223,3.194164105,0.154382497,0.19183913,0.414136011,2.224366503,0.099217058,0.109935055,0.052272132,0.332927096,0.03421618,0.026006986,0.006911171,0.031234977,0.010052894,0.010793961,0.049838799,0.873016322,0.37876491,0.228876905,0.04998776,0.301894118,0.006486776,0.037171283,5,6
happily,one direction,117.45383522727272,0.0163869896699083,0.068095843,0.03222479,0.076571499,3.204340319,0.153814223,0.183363917,0.531040436,1.351992186,-0.067176567,0.184908236,0.034902622,0.297044503,0.022806488,0.05372539,0.012664006,0.059008483,0.008281777,0.016642033,0.035437534,0.901484066,0.369853533,0.223184235,0.033698722,0.278190994,0.003762679,0.024931579,3,2
